PROJECT_BUILDYEARS_1	PROJECT_BUILDYEARS_2	BuildProj
ror_temuco	2028	0.0102374216352
ror_temuco	2030	311.722505245
ror_temuco	2032	458.950231168
ror_temuco	2034	0.0
ror_temuco	2036	0.0
ror_temuco	2038	0.0
rucue	1998	178.1
rucue	2020	0.0
rucue	2022	0.0
rucue	2024	0.0
rucue	2026	0.0
rucue	2028	0.0
rucue	2030	0.0
rucue	2032	0.0
rucue	2034	0.0
rucue	2036	0.0
rucue	2038	0.0
san_ignacio	1996	36.9
san_ignacio	2020	0.0
san_ignacio	2022	0.0
san_ignacio	2024	0.0
san_ignacio	2026	0.0
san_ignacio	2028	0.0
san_ignacio	2030	0.0
san_ignacio	2032	0.0
san_ignacio	2034	0.0
san_ignacio	2036	36.8999989077
san_ignacio	2038	0.0
wind_charrua	2015	155.0
wind_charrua	2020	0.0
wind_charrua	2022	0.0
wind_charrua	2024	0.0
wind_charrua	2026	0.0
wind_charrua	2028	0.0
wind_charrua	2030	372.379891975
wind_charrua	2032	272.61645571
wind_charrua	2034	0.0
wind_charrua	2036	0.0
wind_charrua	2038	0.0
wind_crucero_encuentro	2015	210.0
wind_crucero_encuentro	2020	589.999914955
wind_crucero_encuentro	2022	0.0
wind_crucero_encuentro	2024	0.0
wind_crucero_encuentro	2026	0.0
wind_crucero_encuentro	2028	0.0
wind_crucero_encuentro	2030	0.0
wind_crucero_encuentro	2032	0.0
wind_crucero_encuentro	2034	0.0
wind_crucero_encuentro	2036	0.0
wind_crucero_encuentro	2038	0.0
wind_diego_de_almagro	2015	283.5
wind_diego_de_almagro	2020	0.0250270372998
wind_diego_de_almagro	2022	344.332314884
wind_diego_de_almagro	2024	72.1425773684
wind_diego_de_almagro	2026	0.0
wind_diego_de_almagro	2028	0.0
wind_diego_de_almagro	2030	0.0
wind_diego_de_almagro	2032	0.0
wind_diego_de_almagro	2034	0.0
wind_diego_de_almagro	2036	0.0
wind_diego_de_almagro	2038	0.0
wind_hualpen	2015	30.0
wind_hualpen	2020	769.999950282
wind_hualpen	2022	0.0
wind_hualpen	2024	0.0
wind_hualpen	2026	0.0
wind_hualpen	2028	0.0
wind_hualpen	2030	0.0
wind_hualpen	2032	0.0
wind_hualpen	2034	0.0
wind_hualpen	2036	0.0
wind_hualpen	2038	0.0
wind_los_vilos	2015	167.7
wind_los_vilos	2020	0.0
wind_los_vilos	2022	0.0
wind_los_vilos	2024	0.0
wind_los_vilos	2026	0.0
wind_los_vilos	2028	0.0
wind_los_vilos	2030	0.0
wind_los_vilos	2032	0.0
wind_los_vilos	2034	267.050574624
